usuario,estrelas,sentimento,comentario,comentario_limpo,cronologia,data_avaliacao,ano,periodo
simone sousa,5,positivo,Um lugar muito aconchegante e organizado.,lugar aconchegante organizado,um ano atrás,2024-10-28 17:06:31.942649,2024,pós-pandemia
Francisco Adauto,4,positivo,"Excelente por causa dos recursos: livros, audiolivros, video game,  revistas e mesas de estudos. Péssimo por causa do barulho, alguns vão lá pra bater papo, parece que você está num bar.",excelente causa recursos livros audiolivros video game revistas mesas estudos péssimo causa barulho alguns vão lá pra bater papo parece bar,Editado um ano atrás,2024-10-28 17:06:31.942656,2024,pós-pandemia
Produção Comedy Project,5,positivo,Lugar ótimo para estudos e atividades culturais pra adultos e crianças.,lugar ótimo estudos atividades culturais pra adultos crianças,um ano atrás,2024-10-28 17:06:31.942663,2024,pós-pandemia
Rosana Santos,4,positivo,"Amei, esse lugar ... é a primeira vez que estive e pude observar aquantidade de atividades interativas que tem, amei a contação de história, com as crianças interagindo muito legal, voltarei muitas outras vezes com certeza.☺️👏👏👏",amei lugar primeira vez pude observar aquantidade atividades interativas amei contação história crianças interagindo legal voltarei muitas outras vezes certeza☺️👏👏👏,um ano atrás,2024-10-28 17:06:31.942670,2024,pós-pandemia
Rafael Romão Azevedo Costa,2,negativo,"O lugar é muito bonito e a biblioteca está muito bem organizada, o problema é  a segurança do parque onde a biblioteca está, o local tem muitos usuários de drogas e apenas um segurança que fica na entrada, infelizmente nos sentimos coagidos enquanto visitavamos a biblioteca. Uma pena",lugar bonito biblioteca bem organizada problema segurança parque onde biblioteca local muitos usuários drogas apenas segurança fica entrada infelizmente sentimos coagidos enquanto visitavamos biblioteca pena,um ano atrás,2024-10-28 17:06:31.942677,2024,pós-pandemia
Nayara Gomes,5,positivo,"Muito bom, minha filha amou.",bom filha amou,um ano atrás,2024-10-28 17:06:31.942684,2024,pós-pandemia
Giulia Ribeiro,4,positivo,"Lugar maravilhoso, só perde pelo barulho, oq é para ser um lugar silencioso, tem gente que vai para ficar no celular batendo papo..",lugar maravilhoso perde barulho oq lugar silencioso gente vai ficar celular batendo papo,um ano atrás,2024-10-28 17:06:31.942690,2024,pós-pandemia
Cin Bernardes,3,neutro,Sem comentário,comentário,Editado um ano atrás,2024-10-28 17:06:31.942697,2024,pós-pandemia
Debora Praxedes,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942705,2024,pós-pandemia
Psicologia HMP,5,positivo,Lugar de ampliar os conhecimentos. Muito bom.,lugar ampliar conhecimentos bom,2 anos atrás,2023-10-29 17:06:31.942712,2023,pós-pandemia
Cybelle Ercilia,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942719,2023,pós-pandemia
Marcel Lins Camargo,5,positivo,O espaço é muito bom. É indicado pra crianças pequenas.,espaço bom indicado pra crianças pequenas,2 anos atrás,2023-10-29 17:06:31.942725,2023,pós-pandemia
Cláudia Trigo,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942732,2023,pós-pandemia
José Guilherme,5,positivo,"Uma das melhores de SP.  Lugar muito tranquilho. Muito conhecimento disponível gratuitamente. Conta com computadores e vídeo games, basta fazer um rápido cadastro.",melhores sp lugar tranquilho conhecimento disponível gratuitamente conta computadores vídeo games basta fazer rápido cadastro,2 anos atrás,2023-10-29 17:06:31.942738,2023,pós-pandemia
Adriano Garbelini,3,neutro,"Uma ótima opção na ZN. Ar condicionado mal regulado, não tá dando conta. Não se encontra jornais do dia. Deve ter um exemplar de cada pra esse tamanho de biblioteca. O acesso melhorou, foi  socializado. Agora não precisa se cadastrar para entrar. Localização fantástica, dentro do parque",ótima opção zn ar condicionado mal regulado tá dando conta encontra jornais dia deve ter exemplar cada pra tamanho biblioteca acesso melhorou socializado agora precisa cadastrar entrar localização fantástica dentro parque,2 anos atrás,2023-10-29 17:06:31.942745,2023,pós-pandemia
Tomas Alves,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942752,2023,pós-pandemia
Cássia Mello,5,positivo,"Amo esse lugar, vou tantas vezes na semana. Pertinho de casa, meu refúgio",amo lugar vou tantas vezes semana pertinho casa refúgio,2 anos atrás,2023-10-29 17:06:31.942758,2023,pós-pandemia
Manoel Brito,5,positivo,O.estado.de.saopaulo.e.para.mim.um.grande.motivo.de.horgulho.e.de.a.legria.e.felucidado.eu.nao.tenho.palvará.para.descrever.a.grendezar.e.a.bondade.e.a.plenitude.dé.sao Paulo.e.um.estado.grande.e.acolhedor.e.tem.uma.grande.estrutura.abitacional.a.o.nivel.dé.paises.tem.uma.grande.cuntidade.dé.inmprezario.em.inúmeras.arias.de.fabricacao.e.cobstrução.civil.e.marteriais.dé.predutos.e.sevicos.em.geral.tem.uma.grande.e.hótima.e.eficiente.estrutura.bacaricia.e.saude.e.transporte.e.comunicacao.a.nivel.dé.primeiro.mundu.e.tududo.dé.bom.eu.o.rencomendo.plentamente.e.carinhozamnte.muinticimo.obrigado.sao Paulo.,oestadodesaopauloeparamimumgrandemotivodehorgulhoedealegriaefelucidadoeunaotenhopalvaráparadescreveragrendezareabondadeeaplenitudedésao pauloeumestadograndeeacolhedoretemumagrandeestruturaabitacionalaoniveldépaisestemumagrandecuntidadedéinmprezarioeminúmerasariasdefabricacaoecobstruçãocivilemarteriaisdépredutosesevicosemgeraltemumagrandeehótimaeeficienteestruturabacariciaesaudeetransporteecomunicacaoaniveldéprimeiromunduetududodébomeuorencomendoplentamenteecarinhozamntemuinticimoobrigadosao paulo,2 anos atrás,2023-10-29 17:06:31.942765,2023,pós-pandemia
Eu DC,4,positivo,Ótima,ótima,2 anos atrás,2023-10-29 17:06:31.942771,2023,pós-pandemia
Min,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942778,2023,pós-pandemia
Leonardo Dias,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942801,2023,pós-pandemia
Flavio Gomes Barbosa,5,positivo,Boa,boa,Editado 2 anos atrás,2023-10-29 17:06:31.942812,2023,pós-pandemia
Giovanna,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942826,2023,pós-pandemia
Sanvar var,5,positivo,Boa,boa,2 anos atrás,2023-10-29 17:06:31.942834,2023,pós-pandemia
Débora Porto,5,positivo,"Espaço fantástico! Profissionais dedicados e acessibilidade que da orgulho!Um espaço público aberto a todos de fato, com videogame, diversos computadores, livros (óbvio) dos mais diversos, gibis e mangas, audiolivros, dvd’s… tudo disponível para a população e muito bem cuidado.Vale a pena pelo menos conhecer!",espaço fantástico profissionais dedicados acessibilidade orgulhoum espaço público aberto todos fato videogame diversos computadores livros óbvio diversos gibis mangas audiolivros dvd’s… tudo disponível população bem cuidadovale pena menos conhecer,2 anos atrás,2023-10-29 17:06:31.942840,2023,pós-pandemia
Adri Mikaro,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942847,2023,pós-pandemia
Mari Braga,1,negativo,"A biblioteca é tão barulhenta que parece um bar. Os atendentes não sabem o que significa cordão de deficiência e não têm educação. Não tem nenhum acervo básico, apenas livros aleatórios de cultura pop. Não serve para pesquisa e parece um bar, onde as pessoas vao pra sentar, gritar e deitar nos puffs.",biblioteca tão barulhenta parece bar atendentes sabem significa cordão deficiência têm educação nenhum acervo básico apenas livros aleatórios cultura pop serve pesquisa parece bar onde pessoas vao pra sentar gritar deitar puffs,2 anos atrás,2023-10-29 17:06:31.942854,2023,pós-pandemia
Erica Rodrigues,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942861,2023,pós-pandemia
Ruth Maria Israel,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942874,2023,pós-pandemia
Fabricio Augusto,5,positivo,Excelente biblioteca de SP,excelente biblioteca sp,2 anos atrás,2023-10-29 17:06:31.942882,2023,pós-pandemia
REINER MONTILLA,1,negativo,En San Pablo,en san pablo,2 anos atrás,2023-10-29 17:06:31.942889,2023,pós-pandemia
Adelson Araújo,5,positivo,Frequento desde 2016,frequento desde 2016,2 anos atrás,2023-10-29 17:06:31.942896,2023,pós-pandemia
Rene Padilha,4,positivo,Um local público ideal para ler e estudar junto com amigos devido a ser próximo do metrô Carandiru facilita o encontro das pessoas de diversos locais. Região da rodoviária com moradores de rua e pedintes.,local público ideal ler estudar junto amigos devido próximo metrô carandiru facilita encontro pessoas diversos locais região rodoviária moradores rua pedintes,2 anos atrás,2023-10-29 17:06:31.942902,2023,pós-pandemia
Grazy,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942909,2023,pós-pandemia
bianca a,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942916,2023,pós-pandemia
Ananda Araujo,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942922,2023,pós-pandemia
Ana Paula Vieira,1,negativo,"Além de ser barulhenta, e não recomendada para quem quer de fato estudar. Ainda por cima só abre as 09:30 e tem que pegar senha pra entrar????? Gente por favor, tenham respeito com o contribuinte. É um completo absurdo isso!!!!!",além barulhenta recomendada quer fato estudar ainda cima abre 0930 pegar senha pra entrar gente favor respeito contribuinte completo absurdo,2 anos atrás,2023-10-29 17:06:31.942929,2023,pós-pandemia
Paloma Eghrari,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942936,2023,pós-pandemia
Osmar Daumerie,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942942,2023,pós-pandemia
Adalberto Vitorino,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942949,2023,pós-pandemia
Lidiani Maria Baptista Pires,2,negativo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942956,2023,pós-pandemia
Roberto Malufok,5,positivo,Sensacional,sensacional,2 anos atrás,2023-10-29 17:06:31.942962,2023,pós-pandemia
Alcione Martins,5,positivo,As crianças amam este lugar,crianças amam lugar,2 anos atrás,2023-10-29 17:06:31.942969,2023,pós-pandemia
Roni Nogueira,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.942975,2023,pós-pandemia
Soraya,5,positivo,"Levem seus pequenos lá. Lugar incrível, aconchegante e acolhedor. Quase sempre com programação acessível ( vejam no site da BSP para saberem). As contrações de história são sensacionais, artistas qualificados e que sempre trazem muita cultura. Aproveitem muito aprendizado, lazer e diversão de graça.",levem pequenos lá lugar incrível aconchegante acolhedor quase sempre programação acessível vejam site bsp saberem contrações história sensacionais artistas qualificados sempre trazem muita cultura aproveitem aprendizado lazer diversão graça,2 anos atrás,2023-10-29 17:06:31.942982,2023,pós-pandemia
Sidenei Silva,5,positivo,Ótimo,ótimo,2 anos atrás,2023-10-29 17:06:31.942989,2023,pós-pandemia
Sergio Roberto Vieira,5,positivo,Excelente.,excelente,2 anos atrás,2023-10-29 17:06:31.942995,2023,pós-pandemia
Vinno gv,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943002,2023,pós-pandemia
Kathya Luzia,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943008,2023,pós-pandemia
Renan Faria,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943015,2023,pós-pandemia
Luis Amoraga,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943022,2023,pós-pandemia
Anna Beatriz Kocsis Munhoz,4,positivo,"A biblioteca de São Paulo é maravilhosa! Tem uma estrutura linda, um acervo gigante e muitas atividades legais. O único problema é a falta de segurança em torno dela e em geral em toda a área do parque da juventude. A visita vale muito a pena, mas é preciso ter cuidado com bolsas e celulares na parte externa.",biblioteca paulo maravilhosa estrutura linda acervo gigante muitas atividades legais único problema falta segurança torno geral toda área parque juventude visita vale pena preciso ter cuidado bolsas celulares parte externa,2 anos atrás,2023-10-29 17:06:31.943028,2023,pós-pandemia
Riquelme Welbertt,3,neutro,"Um lugar amplo e legal, mas é muito perigoso, tem muitos noias na porta e ele furta você",lugar amplo legal perigoso muitos noias porta furta,2 anos atrás,2023-10-29 17:06:31.943035,2023,pós-pandemia
Sara Barbosa Bertaglia,5,positivo,"Um oásis no meio da cidade grande! Profissionais são atenciosos, o acervo é muito bom tanto com clássicos como literatura contemporânea, um lugar lindo e aconchegante para todas as idades. 💙",oásis meio cidade grande profissionais atenciosos acervo bom tanto clássicos literatura contemporânea lugar lindo aconchegante todas idades 💙,2 anos atrás,2023-10-29 17:06:31.943041,2023,pós-pandemia
Lilian Sanches,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943048,2023,pós-pandemia
Mauricio Munhoz,5,positivo,"Linda, fantástica,merece a visita... Falta divulgação deste espaço maravilhoso!",linda fantásticamerece visita falta divulgação deste espaço maravilhoso,2 anos atrás,2023-10-29 17:06:31.943055,2023,pós-pandemia
Raquel Budow,4,positivo,"Fui recentemente fazer um curso sobre contos com o Marcelo Maluf, que é ótimo. O lugar é muito agradável, com uma agenda de atividades bastante interessante e que também empresta livros. Consegui mais um curso para aperfeiçoar a escrita e aprender sobre literatura, estilos, etc. Estou muito feliz com a oportunidade. O entorno do local que precisa maior atenção na minha opinião",recentemente fazer curso sobre contos marcelo maluf ótimo lugar agradável agenda atividades bastante interessante empresta livros consegui curso aperfeiçoar escrita aprender sobre literatura estilos etc feliz oportunidade entorno local precisa maior atenção opinião,2 anos atrás,2023-10-29 17:06:31.943061,2023,pós-pandemia
Gisleine Martins dos Santos,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943068,2023,pós-pandemia
Wanderlei da Luz (Wandluz),5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943074,2023,pós-pandemia
Jose Carlos Martinez,5,positivo,É a melhor biblioteca,melhor biblioteca,2 anos atrás,2023-10-29 17:06:31.943081,2023,pós-pandemia
David Santos,5,positivo,Funcionários super atenciosos e educados tanto via online tanto presencialmente.,funcionários super atenciosos educados tanto via online tanto presencialmente,2 anos atrás,2023-10-29 17:06:31.943088,2023,pós-pandemia
Cristiano Santiago,5,positivo,"Estive recentemente na Biblioteca de São Paulo em Santana ( região norte da capital de São Paulo), e posso afirmar que o espaço continua progredindo positivamente. Está apto para receber visitantes tanto de outros estados, quanto do próprio estado. Para quem vem de outro estado conhecer os programas de lazer que a capital de São Paulo oferece, recomendo fortemente que se dirijam a biblioteca de São Paulo, o espaço é espetacular!",recentemente biblioteca paulo santana região norte capital paulo posso afirmar espaço continua progredindo positivamente apto receber visitantes tanto outros estados quanto próprio estado vem outro estado conhecer programas lazer capital paulo oferece recomendo fortemente dirijam biblioteca paulo espaço espetacular,Editado 2 anos atrás,2023-10-29 17:06:31.943095,2023,pós-pandemia
FélixThePredo,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943102,2023,pós-pandemia
Larissa Costa,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943109,2023,pós-pandemia
flavio moreira conceiçao moreira,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943115,2023,pós-pandemia
Felipe S.,5,positivo,"Muito bom, um espaço muito agradável.",bom espaço agradável,2 anos atrás,2023-10-29 17:06:31.943122,2023,pós-pandemia
Jimena Soliz,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943129,2023,pós-pandemia
paulo malanconi,5,positivo,Ótima,ótima,2 anos atrás,2023-10-29 17:06:31.943135,2023,pós-pandemia
Sandy Smith,4,positivo,Espaço Ótimo p crianças. Mas não tinha os livros que procurei. Uma pena,espaço ótimo p crianças livros procurei pena,2 anos atrás,2023-10-29 17:06:31.943143,2023,pós-pandemia
Mirian Elorza,3,neutro,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943149,2023,pós-pandemia
Joyce Hiromi,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943156,2023,pós-pandemia
claudio amaral,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943162,2023,pós-pandemia
K.R,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943169,2023,pós-pandemia
Laura Souza,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943176,2023,pós-pandemia
Yasmim Soares de Melo Bordignon,5,positivo,"Ótima biblioteca, com um bom atendimento, variedades de livros e jogos",ótima biblioteca bom atendimento variedades livros jogos,2 anos atrás,2023-10-29 17:06:31.943182,2023,pós-pandemia
Ricky Faray,3,neutro,"Para quem pretende ler algum livro ou estudar na BSP, esquece! A poluição sonora é intensa. Maioria dos frequentadores não tem educação.",pretende ler algum livro estudar bsp esquece poluição sonora intensa maioria frequentadores educação,2 anos atrás,2023-10-29 17:06:31.943189,2023,pós-pandemia
Anderson Astrano,5,positivo,"Recomemdo, um lugar muito bom pra passar o dia",recomemdo lugar bom pra passar dia,Editado 2 anos atrás,2023-10-29 17:06:31.943195,2023,pós-pandemia
Bruna Dias de Moura,5,positivo,Lugar maravilhoso,lugar maravilhoso,2 anos atrás,2023-10-29 17:06:31.943203,2023,pós-pandemia
Voyage7entura,3,neutro,Io mi sono trovato un po' male in quanto volevo imparare il portoghese in questa biblioteca che era aperta di domenica ( benissimo).Purtroppo mi sono ritrovato in un ambiente unico dove devi imparare in mezzo …,io mi sono trovato un po male in quanto volevo imparare il portoghese in questa biblioteca che aperta di domenica benissimopurtroppo mi sono ritrovato in un ambiente unico dove devi imparare in mezzo …,2 anos atrás,2023-10-29 17:06:31.943210,2023,pós-pandemia
Vivian Coimbra,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943217,2023,pós-pandemia
Felipe Carmo,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943223,2023,pós-pandemia
Gutta Moura,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943230,2023,pós-pandemia
PedrodePaula,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943237,2023,pós-pandemia
Aline Caroline,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943243,2023,pós-pandemia
Anna Cristina,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943250,2023,pós-pandemia
TOMLIMA,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943257,2023,pós-pandemia
Douglas Silva,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943263,2023,pós-pandemia
Ricardo Boubee,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943270,2023,pós-pandemia
juan fernando graciano,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943276,2023,pós-pandemia
Sonia Christina,1,negativo,Apesar de ter muito morador de rua é um lugar limpo tá pra ir,apesar ter morador rua lugar limpo tá pra ir,2 anos atrás,2023-10-29 17:06:31.943283,2023,pós-pandemia
Fernanda Crispi,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943290,2023,pós-pandemia
Jéssica Moraes,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943296,2023,pós-pandemia
Arley C. Rocha,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943303,2023,pós-pandemia
Alexandre Ferreira,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943310,2023,pós-pandemia
bisael antonio castrillo cordero,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943316,2023,pós-pandemia
Sergio Pereira,5,positivo,"Lugar incrível,muito bom encontrei livros e quadrinhos que nem imaginava ,muita diversão.Topzera demais.",lugar incrívelmuito bom encontrei livros quadrinhos imaginava muita diversãotopzera demais,2 anos atrás,2023-10-29 17:06:31.943323,2023,pós-pandemia
Tadeu Luiz L. dos Santos.,5,positivo,"Espaço de conhecimento muito completo, com salas de leitura, livros de diversos segmentos, computadores de uso popular e colaboradores extremamente atenciosos.",espaço conhecimento completo salas leitura livros diversos segmentos computadores uso popular colaboradores extremamente atenciosos,2 anos atrás,2023-10-29 17:06:31.943329,2023,pós-pandemia
Cristina Fukuda,5,positivo,"Muitos livros interessantes, inclusive infantis.Você pode ler no local ou levar para casa por 15 dias.Tem também jogos de tabuleiro para brincar no local, computador que pode ser usado por 2 horas.Os livros são realmente bons, meu filho já pegou um livro logo no primeiro dia e quer voltar lá a cada 15 dias para pegar outros.",muitos livros interessantes inclusive infantisvocê pode ler local levar casa 15 diastem jogos tabuleiro brincar local computador pode usado 2 horasos livros realmente bons filho pegou livro logo primeiro dia quer voltar lá cada 15 dias pegar outros,2 anos atrás,2023-10-29 17:06:31.943336,2023,pós-pandemia
Nilton Bohatir,5,positivo,Ótimos....,ótimos,2 anos atrás,2023-10-29 17:06:31.943343,2023,pós-pandemia
adriana conceiçao,4,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943349,2023,pós-pandemia
XxxLove Diamonds,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943356,2023,pós-pandemia
will Ramalho,5,positivo,"Maravilhosa, um lugar de paz...",maravilhosa lugar paz,2 anos atrás,2023-10-29 17:06:31.943362,2023,pós-pandemia
Rosimeire Oliveira,5,positivo,"Biblioteca pública da mais alta qualidade, acervo diverso, espaço físico limpo e muito bonito, funcionários solícitos e educados. Tem ainda atividades diversas voltadas para todos os públicos. Amo esta biblioteca!",biblioteca pública alta qualidade acervo diverso espaço físico limpo bonito funcionários solícitos educados ainda atividades diversas voltadas todos públicos amo biblioteca,2 anos atrás,2023-10-29 17:06:31.943369,2023,pós-pandemia
Alex Sorriso,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943375,2023,pós-pandemia
Carlos Alberto Teixeira Ramos Ramos,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943382,2023,pós-pandemia
Ciça Macedo,5,positivo,muito bom.maravilhoso.,bommaravilhoso,2 anos atrás,2023-10-29 17:06:31.943389,2023,pós-pandemia
Eric Nishizawa,5,positivo,"Funcionários muito atenciosos e educados, ótima organização",funcionários atenciosos educados ótima organização,2 anos atrás,2023-10-29 17:06:31.943395,2023,pós-pandemia
mayuyuy sz,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943402,2023,pós-pandemia
Matheus Pamplona,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943408,2023,pós-pandemia
Yasmim Vasconcelos,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943415,2023,pós-pandemia
Fabio Roberto Mariano,5,positivo,"Excelente espaço, serviços, livros. Muito bom!",excelente espaço serviços livros bom,2 anos atrás,2023-10-29 17:06:31.943422,2023,pós-pandemia
Inaiá,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943428,2023,pós-pandemia
Edenilson Carlos Alberto,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943435,2023,pós-pandemia
sandy aoki,5,positivo,"Lugar maravilhoso, um achado em meio aos arranhas céus!",lugar maravilhoso achado meio arranhas céus,2 anos atrás,2023-10-29 17:06:31.943442,2023,pós-pandemia
Alex Oliveira,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943449,2023,pós-pandemia
Alyne Santos,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943455,2023,pós-pandemia
Fábio Júnior,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943462,2023,pós-pandemia
Márcio Rafael Cândido de Oliveira,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943469,2023,pós-pandemia
Camilla Fernandes,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943475,2023,pós-pandemia
Beatriz Cardozo,5,positivo,Sem comentário,comentário,2 anos atrás,2023-10-29 17:06:31.943482,2023,pós-pandemia
florisvaldo lopes,1,negativo,Só tem noia,noia,2 anos atrás,2023-10-29 17:06:31.943489,2023,pós-pandemia
Felipe Carvalho,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943496,2022,pandemia
Oraculando com Esmeralda Mistica Oraculos,5,positivo,Excelente acervo literário e para grupo ou individualmente estudar é um lugar perfeito,excelente acervo literário grupo individualmente estudar lugar perfeito,3 anos atrás,2022-10-29 17:06:31.943502,2022,pandemia
pedro rodrigues,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943509,2022,pandemia
DANIELA S MARTINS,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943515,2022,pandemia
marcos roberto felipe,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943522,2022,pandemia
Larissa Oliveira,5,positivo,"Demais esse lugar, as funcionárias são muito atenciosas. Gostei bastante ✌🏼😘",demais lugar funcionárias atenciosas gostei bastante ✌🏼😘,3 anos atrás,2022-10-29 17:06:31.943528,2022,pandemia
Fatima Regina Fonseca,5,positivo,Espaço muito legal e interativo,espaço legal interativo,3 anos atrás,2022-10-29 17:06:31.943535,2022,pandemia
Leonardo Calegaro,5,positivo,"Tem livros, jogos de tabuleiro, jogos físicos, jogos em Xbox!, computadores com internet e áreas para descanso com acolchoados aconchegantes. Muito bom",livros jogos tabuleiro jogos físicos jogos xbox computadores internet áreas descanso acolchoados aconchegantes bom,3 anos atrás,2022-10-29 17:06:31.943541,2022,pandemia
Jéssica Aquino,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943548,2022,pandemia
Matheus Bonan,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943554,2022,pandemia
Raoni Holanda,5,positivo,Muitos cursos legais e ambiente maravilhoso,muitos cursos legais ambiente maravilhoso,3 anos atrás,2022-10-29 17:06:31.943561,2022,pandemia
Guilherme Alves De Santana,3,neutro,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943568,2022,pandemia
Carlos Vilar,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943574,2022,pandemia
Jeferson Silva,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943581,2022,pandemia
Biahh Nascimento,5,positivo,"Foi maneiro, livros e uma boa companhia é tudo que precisamos",maneiro livros boa companhia tudo precisamos,3 anos atrás,2022-10-29 17:06:31.943588,2022,pandemia
Monica Carvalho,4,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943594,2022,pandemia
yosoof baqiri,5,positivo,É ótimo. Desejo sucesso a todos os envolvidos neste centro.,ótimo desejo sucesso todos envolvidos neste centro,3 anos atrás,2022-10-29 17:06:31.943601,2022,pandemia
Bianca Souza,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943607,2022,pandemia
Daniela Takeda,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943614,2022,pandemia
Lílian Prado,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943624,2022,pandemia
wesley thomaz,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.943640,2022,pandemia
Regina Veiga,5,positivo,"Espaço incrível de leitura, estudo, pesquisa e de manifestações culturais e entretenimento. Ambiente muito confortável que proporciona um bem estar; com funcionários que nos  acolhem, nos recebem com muito carinho e atenção.",espaço incrível leitura estudo pesquisa manifestações culturais entretenimento ambiente confortável proporciona bem funcionários acolhem recebem carinho atenção,3 anos atrás,2022-10-29 17:06:31.943647,2022,pandemia
